branch label,lower 95%,mean,upper 95%
c1,0.0014947261000000007,0.03716465265842826,0.08464774010000001
c2,0.0009382219500000001,0.02455207463158911,0.05482765465000001
c3,3.890500000000001e-06,0.00014473983664800154,0.00049099525
c4,0.003077941,0.003671510846881638,0.00441555015
c5,1.559795e-05,0.0006298122728325931,0.002225303350000001
c6,0.0039402271499999995,0.07666383307897279,0.18274184940000002
c7,4.936400000000001e-06,0.00019691264935315698,0.00069061305
c8,0.0310469985,0.03298990918420545,0.03495156505
c9,0.05228960735,0.05612078629078973,0.0601202253
c10,0.2308333965,0.2345453108210079,0.23855959385
c11,0.16765448685,0.1715654060679668,0.17553574889999998
c12,0.0150122382,0.01722422874357984,0.0194591583
c13,0.02313931105,0.025134374511295618,0.0271568818
c14,0.00012793485,0.002761603351998455,0.0077030708000000005
c15,0.00018979475000000003,0.007325935677543927,0.024591345200000014
c16,0.07781488885,0.08639286982950377,0.0919460393
c17,0.004864878300000003,0.12606464813844373,0.3195941861
c18,0.0005330069,0.012709894671365128,0.030373495050000004
c19,0.0015345719,0.05203815647248503,0.15135873260000002
c20,0.003047167150000002,0.07141591860590847,0.20357909940000005
c21,0.0993738951,0.10540609545916199,0.11322538525
c22,0.3347215323,0.37937639550994406,0.401584511
c23,0.002678477700000001,0.09416493900695114,0.2799366931500001
c24,0.00247821985,0.00877129820216258,0.015540820800000002
c25,0.11115021530000001,0.11740771839196755,0.1233332593
c26,0.09564700655,0.09903432407028383,0.102404652
c27,0.06999156035,0.07453398761131493,0.07923592255
c28,0.0446765347,0.04901557070148677,0.053194815449999995
c29,0.0853301976,0.0927814946072601,0.1035873974
c30,0.0012467846500000004,0.037297402340220116,0.09198663050000001
