branch label,lower 95%,mean,upper 95%
c1,0.0010630449500000003,0.022186552928972824,0.04849976214999999
c2,0.0012600975000000001,0.024506119696269,0.05594906809999999
c3,8.22515e-06,0.00027702238166743434,0.0008657177999999996
c4,0.0021411755,0.002909915931644404,0.0036144911999999997
c5,1.534695e-05,0.0005711112841087058,0.0020238133499999996
c6,0.0029923246000000004,0.07679704501916168,0.19704025429999997
c7,1.214315e-05,0.00039198766725011513,0.0012206693999999997
c8,0.031823413599999996,0.033822619113680334,0.0358153301
c9,0.0525515431,0.05646995015707048,0.06040866305
c10,0.2308811797,0.23466342379484106,0.23848271615
c11,0.16771072835,0.17149259985527404,0.17540711735
c12,0.008177914599999999,0.01241218880690926,0.016583763349999996
c13,0.00028416670000000005,0.009324078818516813,0.028677991049999997
c14,0.00071220865,0.004672290837217871,0.008886958249999997
c15,0.023378081999999998,0.02534915603970521,0.02729552445
c16,0.0010842242,0.03015764613339475,0.0757465252
c17,0.003830898450000001,0.13113376148549058,0.35833158509999996
c18,0.00622220555,0.1507536494826347,0.48682714824999995
c19,0.0023851531000000006,0.08231235294564716,0.23096941115
c20,0.0044750083000000005,0.11370290892280055,0.26127158549999996
c21,0.0014401159500000002,0.03852028331690465,0.09099441435
c22,0.2345069881,0.24473526722680797,0.25475683974999996
c23,0.10399101365,0.11020300510667894,0.1166777773
c24,0.1072911587,0.11082752389700598,0.11448231169999999
c25,0.11618557155,0.12077237435762321,0.1254072471
c26,0.09597093895,0.09919966398397051,0.1023092366
c27,0.07025449595,0.07477669441556888,0.07924075635
c28,0.0446568721,0.04857629821345002,0.05265751265
c29,0.0897917885,0.09684838097319208,0.10389558975
c30,0.08971241735,0.1045064269780746,0.11937442684999999
