branch label,lower 95%,mean,upper 95%
c1,0.0061212228,0.00643706618149798,0.006758332299999999
c2,0.0050400770000000004,0.0759845319093546,0.14141830419999998
c3,3.4230000000000004e-07,1.2284299388791048e-05,4.623809999999997e-05
c4,0.1211467183,0.12612118026344143,0.1310797198
c5,0.024892289600000003,0.026631869540764526,0.028372927899999994
c6,0.0045118259,0.14737563090666114,0.41011020029999984
c7,0.2325045541,0.23619542012690356,0.2398648691
c8,0.1340683581,0.14119398564083704,0.1482530288
c9,0.0044316014,0.16253357576349323,0.5177561700999997
c10,0.0627604648,0.06521784568445044,0.0676840697
c11,0.054670183399999996,0.05961244240609137,0.0646735989
c12,0.0152601832,0.017408711906661142,0.0196153567
c13,0.027414712100000002,0.03153178318481301,0.0356822566
c14,0.0226312955,0.024614890126696362,0.026602218999999993
c15,0.0402506287,0.04725148202144411,0.05447515459999999
c16,0.046205894500000004,0.04890169022573293,0.0516567742
c17,0.1266654884,0.12976622201367452,0.1328777611
c18,0.0243998491,0.027059443095721534,0.0298197851
c19,0.0860159374,0.0886506846458096,0.09115676310000001
c20,0.058362224399999996,0.06275448341800476,0.0671518148
c21,0.0612023239,0.06603735046700507,0.0708773474
