branch label,lower 95%,mean,upper 95%
c1,0.0742145305,0.0767145224880864,0.07923553450000001
c2,0.172483285,0.17567423077224156,0.178894088
c3,0.00611188,0.006432307705102565,0.006749911000000001
c4,0.0401146475,0.04425523105622536,0.048391742
c5,2.94e-07,1.2318913776355636e-05,4.5138e-05
c6,0.171755523,0.1757030087299583,0.1797307025
c7,0.024385489500000003,0.026140711987029313,0.02792801
c8,0.23288614400000002,0.2366996058233815,0.240603701
c9,0.0160612755,0.01831290428724073,0.020566962
c10,0.022083936999999998,0.024092565027826984,0.026127745
c11,0.13555207749999998,0.13867620302691278,0.1417936165
c12,0.09950217,0.1020237359727444,0.1045600725
c13,0.0302309815,0.0327578904872293,0.035265843000000005
c14,0.0157966825,0.018213219773441515,0.0206294795
c15,0.043256053,0.04591167577966973,0.0485876865
c16,0.1379229885,0.14104860165070568,0.144153902
c17,0.0205251975,0.024593503476944174,0.028702629
c18,0.059762449499999995,0.0643434620114279,0.068993688
